# State-wise personal loans by scheduled commercial banks (INR crore outstanding).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 159.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,personal_loans_outstanding_crore,as_of,source,quality,geography_note
DN,2007,92,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2008,86,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2009,109,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2010,185,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2011,224,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2012,264,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2013,297,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2014,434,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2015,539,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2016,708,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2017,889,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2018,1329,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2019,1599,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2020,1948,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
