# State GSDP at constant 2011-12 prices (INR lakh) and derived real growth.
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 22.
# FY = April-March. Growth is arithmetic percent change from the prior available FY.
state_code,fy,gsdp_constant_2011_12_lakh,source,level_quality,growth_quality,quality,geography_note,gsdp_real_growth_pct
HP,2024-25,14520669,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,5.726
HR,2011-12,29753852,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
HR,2012-13,32091191,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.856
HR,2013-14,34750661,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,8.287
HR,2014-15,37053451,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,6.627
HR,2015-16,41340479,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,11.57
HR,2016-17,45670911,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.475
HR,2017-18,48203615,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,5.546
HR,2018-19,53299604,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.572
HR,2019-20,54512396,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,2.275
HR,2020-21,49964332,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-8.343
HR,2021-22,55992163,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,12.064
HR,2022-23,58417087,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,4.331
HR,2023-24,62949066,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.758
HR,2024-25,67703325,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.553
JH,2011-12,15091759,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,
JH,2012-13,16325027,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,8.172
