# Per-capita Net State Domestic Product at constant 2011-12 prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 20
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_constant_2011_12_inr,source,quality
JK,2014-15,51649,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2015-16,61388,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2016-17,62398,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2017-18,65621,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2018-19,69183,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2019-20,68437,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2020-21,65539,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2021-22,66029,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2022-23,69627,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2023-24,75955,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
JK,2024-25,81554,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2011-12,90263,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2012-13,94375,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2013-14,101858,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2014-15,105697,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2015-16,116812,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2016-17,131186,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2017-18,140747,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2018-19,149024,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2019-20,156478,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2020-21,149578,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2021-22,165517,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2022-23,182371,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2023-24,191970,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KA,2024-25,204605,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2011-12,97912,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2012-13,103551,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2013-14,107846,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2014-15,112444,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2015-16,120387,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2016-17,129251,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2017-18,137181,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2018-19,147347,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2019-20,147951,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2020-21,132531,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2021-22,147376,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2022-23,155299,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2023-24,165587,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
KL,2024-25,173818,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2011-12,99597,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2012-13,104008,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2013-14,109597,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2014-15,115058,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2015-16,122889,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2016-17,133686,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2017-18,137808,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2018-19,140782,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2019-20,145626,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2020-21,127550,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2021-22,141651,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2022-23,154979,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2023-24,166013,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MH,2024-25,176678,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2011-12,59794,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2012-13,60114,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2013-14,59729,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2014-15,57478,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
