# Per-capita Net State Domestic Product at current prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 19
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_current_inr,source,quality
KL,2014-15,135537,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2015-16,148133,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2016-17,166246,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2017-18,183252,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2018-19,205437,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2019-20,208879,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2020-21,194432,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2021-22,230280,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2022-23,257307,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2023-24,281269,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
KL,2024-25,308338,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2011-12,99597,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2012-13,112092,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2013-14,125261,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2014-15,132836,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2015-16,146815,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2016-17,163726,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2017-18,172663,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2018-19,182865,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2019-20,189843,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2020-21,182454,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2021-22,219620,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2022-23,252289,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2023-24,278681,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MH,2024-25,309340,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2011-12,59794,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2012-13,64477,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2013-14,66281,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2014-15,66485,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2015-16,71594,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2016-17,77585,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2017-18,82457,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2018-19,88954,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2019-20,95422,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2020-21,90751,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2021-22,107971,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2022-23,124673,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2023-24,141195,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
ML,2024-25,157141,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2011-12,39762,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2012-13,41230,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2013-14,47798,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2014-15,52717,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2015-16,55447,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2016-17,59345,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2017-18,71507,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2018-19,73795,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2019-20,78574,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2020-21,75784,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2021-22,98826,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2022-23,107133,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MN,2023-24,119938,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2011-12,38497,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2012-13,44773,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2013-14,51849,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2014-15,55678,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2015-16,62080,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2016-17,74324,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2017-18,81966,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2018-19,92337,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2019-20,101909,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
